Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,330pF_0603_35V,C_0603,15.070000,-78.050000,-90.000000,top
C2,1nF_0603_50V,C_0603,14.580000,-83.910000,90.000000,top
C3,330pF_0603_35V,C_0603,8.280000,-10.010000,0.000000,top
C4,9pF_0603_50V,C_0603,20.400000,-77.670000,180.000000,top
C5,9pF_0603_50V,C_0603,17.710000,-74.540000,-90.000000,top
C6,330pF_0603_35V,C_0603,8.280000,-27.540000,0.000000,top
C7,1nF_0603_50V,C_0603,23.840000,-102.080000,0.000000,top
C8,1nF_0603_50V,C_0603,8.260000,-44.890000,0.000000,top
C9,1nF_0603_50V,C_0603,12.940000,-58.610000,90.000000,top
C10,1nF_0603_50V,C_0603,7.660000,-62.670000,0.000000,top
C11,1nF_0603_50V,C_0603,7.230000,-78.480000,0.000000,top
C12,47uF_5x5.3_16V,CP_Elec_5x5.3,18.930000,-47.330000,0.000000,top
C13,47uF_5x5.3_16V,CP_Elec_5x5.3,26.480000,-28.540000,0.000000,top
C14,47uF_5x5.3_16V,CP_Elec_5x5.3,7.840000,-39.400000,-90.000000,top
C15,0.1uF_0603_16V,C_0603,20.250000,-59.810000,180.000000,top
C16,0.1uF_0603_16V,C_0603,22.580000,-20.330000,0.000000,top
C17,0.1uF_0603_16V,C_0603,54.800000,-64.320000,0.000000,top
C19,0.1uF_0603_16V,C_0603,23.180000,-42.340000,0.000000,top
C20,0.1uF_0603_16V,C_0603,27.920000,-80.730000,90.000000,top
D1,BAT54S,SOT23-3_PO132,14.100000,-74.570000,180.000000,top
D2,BAT54S,SOT23-3_PO132,14.620000,-87.430000,270.000000,top
D3,BAT54S,SOT23-3_PO132,8.380000,-12.600000,0.000000,top
D4,BAT54S,SOT23-3_PO132,8.590000,-30.190000,0.000000,top
D5,BAT54S,SOT23-3_PO132,21.700000,-97.460000,90.000000,top
D6,BAT54S,SOT23-3_PO132,9.160000,-47.460000,0.000000,top
D7,BAT54S,SOT23-3_PO132,10.240000,-58.630000,90.000000,top
D8,BAT54S,SOT23-3_PO132,9.390000,-65.390000,0.000000,top
D9,BAT54S,SOT23-3_PO132,8.960000,-82.270000,0.000000,top
D10,B140-E3,D_SMA,24.860000,-12.830000,180.000000,top
D11,B140-E3,D_SMA,18.040000,-23.940000,0.000000,top
G***,LOGO,4msLogo_15.5x6.6mm,28.320000,-53.960000,0.000000,top
IC1,40106,TSSOP-14_4.4x5mm_P0.65mm,50.090000,-62.420000,180.000000,top
IC2,40106,TSSOP-14_4.4x5mm_P0.65mm,32.950000,-79.490000,90.000000,top
IC3,TL082,TSSOP-8_4.4x3mm_Pitch0.65mm,32.560000,-5.970000,90.000000,top
J1,ISP,Pins_2x03_2.54mm_TH,20.830000,-89.230000,0.000000,top
